Date,Close,Open,High,Low,Volume,%Change
2018-11-23,6006.2,5998.03,6017.46,5971.99,6260000000.0,0.26
2018-11-26,6022.78,5997.73,6025.99,5990.98,6720000000.0,0.28
2018-11-27,6013.59,6002.39,6034.18,5992.88,6920000000.0,-0.15
2018-11-28,5991.25,6027.58,6030.9,5990.35,7240000000.0,-0.37
2018-11-29,6107.17,6030.74,6107.17,6029.66,7190000000.0,1.93
2018-11-30,6056.12,6104.64,6117.19,6056.12,10490000000.0,-0.84
2018-12-03,6118.32,6118.06,6157.3,6101.74,8480000000.0,1.03
2018-12-04,6152.86,6118.63,6152.86,6118.47,6520000000.0,0.56
2018-12-05,6133.12,6097.64,6133.12,6064.83,6790000000.0,-0.32
2018-12-06,6115.49,6095.01,6131.63,6086.13,6590000000.0,-0.29
2018-12-07,6126.36,6108.95,6141.47,6103.18,6610000000.0,0.18
2018-12-10,6111.36,6103.1,6121.78,6078.63,5690000000.0,-0.24
2018-12-11,6076.59,6095.35,6106.98,6069.16,7180000000.0,-0.57
2018-12-12,6115.58,6097.73,6118.23,6084.34,7930000000.0,0.64
2018-12-13,6177.72,6140.88,6186.05,6139.33,8210000000.000001,1.02
2018-12-14,6169.84,6178.57,6185.48,6160.35,6190000000.0,-0.13
2018-12-17,6089.31,6163.63,6174.22,6089.31,6190000000.0,-1.31
2018-12-18,6081.87,6056.23,6081.87,6014.8,6050000000.0,-0.12
2018-12-19,6176.09,6076.3,6176.09,6076.22,8289999999.999999,1.55
2018-12-20,6147.88,6144.94,6160.41,6112.06,6480000000.0,-0.46
2018-12-21,6163.6,6117.84,6165.28,6110.61,5940000000.0,0.26
2018-12-26,6127.85,6126.65,6144.6,6094.41,5320000000.0,-0.58
2018-12-27,6190.64,6173.52,6191.7,6157.65,6550000000.0,1.02
2018-12-28,6194.5,6200.3,6212.12,6176.63,7000000000.0,0.06
2019-01-02,6181.18,6197.87,6205.9,6164.83,5280000000.0,-0.22
2019-01-03,6221.01,6176.15,6221.01,6176.15,7220000000.0,0.64
2019-01-04,6274.54,6211.1,6274.54,6200.85,8090000000.0,0.86
2019-01-07,6287.22,6317.63,6354.76,6287.22,9030000000.0,0.2
2019-01-08,6262.85,6292.26,6316.24,6251.38,9050000000.0,-0.39
2019-01-09,6272.24,6296.11,6311.58,6265.33,10560000000.0,0.15
2019-01-10,6328.71,6293.96,6328.71,6268.51,12250000000.0,0.9
2019-01-11,6361.47,6347.97,6361.47,6337.55,7810000000.0,0.52
2019-01-14,6336.12,6351.33,6359.88,6302.4,7970000000.0,-0.4
2019-01-15,6408.78,6347.1,6408.78,6333.64,9510000000.0,1.15
2019-01-16,6413.36,6417.13,6425.94,6385.59,10430000000.0,0.07
2019-01-17,6423.78,6421.41,6457.73,6410.95,9920000000.0,0.16
2019-01-18,6448.16,6444.21,6452.56,6409.1,8000000000.0,0.38
2019-01-21,6450.83,6448.54,6472.15,6438.9,10180000000.0,0.04
2019-01-22,6468.56,6452.6,6468.56,6416.59,10080000000.0,0.27
2019-01-23,6451.17,6452.91,6484.2,6449.92,10950000000.0,-0.27
2019-01-24,6466.65,6451.26,6478.88,6446.58,12040000000.0,0.24
2019-01-25,6482.84,6474.16,6498.33,6470.12,9200000000.0,0.25
2019-01-28,6458.71,6488.9,6501.09,6433.82,9550000000.0,-0.37
2019-01-29,6436.48,6454.47,6485.25,6428.47,7310000000.0,-0.34
2019-01-30,6464.19,6445.41,6464.93,6435.42,7870000000.0,0.43
2019-01-31,6532.97,6491.39,6544.48,6491.39,10430000000.0,1.06
